optimizer,display_name,status,task_model,baseline_accuracy_pct,optimized_validation_accuracy_pct,locked_test_accuracy_pct,absolute_uplift_pct_points,relative_uplift_pct,optimization_cost_usd,evaluation_cost_usd,optimization_time_seconds,mean_inference_latency_seconds,p95_inference_latency_seconds
quickstart,Unoptimized baseline,completed,openai/gpt-5.6-luna,53.75,55.0,53.75,0.0,0.0,0.0,0.157908,1.0830117389559746e-06,1.7890831411739783,3.542266083008144
labeled-few-shot,LabeledFewShot,completed,openai/gpt-5.6-luna,53.75,63.333333333333336,67.5,13.75,25.58139534883721,0.0,0.226346,0.00010041598579846323,1.6211450260525453,2.4816852909862064
bootstrap-few-shot,BootstrapFewShot,completed,openai/gpt-5.6-luna,53.75,66.66666666666667,67.5,13.75,25.58139534883721,0.003031,0.191917,4.472140875004698,1.646995817176503,2.715406791015994
bootstrap-random-search,BootstrapFewShotWithRandomSearch (BootstrapRS),completed,openai/gpt-5.6-luna,53.75,61.666666666666664,65.0,11.25,20.930232558139537,0.876615,0.19022799999999995,1119.1158197500044,1.5790677296114155,2.6629988339846022
knn-few-shot,KNNFewShot,completed,openai/gpt-5.6-luna,53.75,71.66666666666667,72.5,18.75,34.883720930232556,0.0,0.237997,0.01752733299508691,1.829866907311589,2.8365726250049192
copro,COPRO,completed,openai/gpt-5.6-luna,53.75,53.333333333333336,50.0,-3.75,-6.976744186046512,0.07316,,861.0646862499998,1.711345128123503,2.658475875010481
miprov2,MIPROv2,completed,openai/gpt-5.6-luna,53.75,76.66666666666667,66.25,12.5,23.25581395348837,0.305173,,270.7738055840018,1.6275150286612188,2.8741659999941476
gepa,GEPA,completed,openai/gpt-5.6-luna,50.0,88.33333333333333,76.25,26.25,52.5,10.8411602,0.6085754999999999,2023.1421918749984,2.0598552883664527,3.1246177919965703
simba,SIMBA,completed,openai/gpt-5.6-luna,53.75,51.666666666666664,47.5,-6.25,-11.627906976744185,1.141345,0.15888199999999997,321.303597332997,1.71064189523604,2.408099416003097
ensemble,Ensemble,completed,openai/gpt-5.6-luna,53.75,65.0,70.0,16.25,30.232558139534884,0.88809,0.5875439999999998,1151.1832889590005,4.803171953136916,6.601123291009571
bootstrap-finetune,BootstrapFinetune (Apple Silicon / MPS),completed,Qwen/Qwen2.5-0.5B-Instruct,51.25,70.0,70.0,18.75,36.58536585365854,0.86507,0.0,1026.2561903329915,1.5260215947488178,1.9915455000009388
better-together,BetterTogether (Apple Silicon / MPS),completed,Qwen/Qwen2.5-0.5B-Instruct,51.25,60.0,65.0,13.75,26.829268292682926,0.84452,0.0,1740.046647665993,1.5498844083027508,1.922373792011058
